recv_ts_utc,exch_ts_ms,inst_id,side,pos_side,sz,bk_px,raw_json
2026-09-01T00:17:11.340843Z,1788221829911,BICO-USDT-SWAP,buy,short,1971,0.02354,"{""bkLoss"":""0"",""bkPx"":""0.02354"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1971"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.346819Z,1788221829911,ICX-USDT-SWAP,buy,short,265,0.01097,"{""bkLoss"":""0"",""bkPx"":""0.01097"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""265"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.350057Z,1788221829911,KAITO-USDT-SWAP,buy,short,623,0.3008,"{""bkLoss"":""0"",""bkPx"":""0.3008"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""623"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.353249Z,1788221829911,HYPE-USDT-SWAP,buy,short,23,84.337,"{""bkLoss"":""0"",""bkPx"":""84.337"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""23"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.360736Z,1788221829911,ZEC-USDT-SWAP,buy,short,19,854.62,"{""bkLoss"":""0"",""bkPx"":""854.62"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""19"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.362839Z,1788221829911,BTC-USDT-SWAP,buy,short,0.15,78766.7,"{""bkLoss"":""0"",""bkPx"":""78766.7"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""0.15"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.367419Z,1788221829911,RIVER-USDT-SWAP,buy,short,43,1.413,"{""bkLoss"":""0"",""bkPx"":""1.413"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""43"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.373721Z,1788221829911,PUMP-USDT-SWAP,buy,short,36,0.004652,"{""bkLoss"":""0"",""bkPx"":""0.004652"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""36"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.562329Z,1788221829911,ETH-USDT-SWAP,buy,short,0.55,2472.17,"{""bkLoss"":""0"",""bkPx"":""2472.17"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""0.55"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.562900Z,1788221829911,BEAT-USDT-SWAP,buy,short,42.1,0.1247,"{""bkLoss"":""0"",""bkPx"":""0.1247"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""42.1"",""ts"":""1788221829911""}"
2026-09-01T00:17:11.563180Z,1788221829914,BCH-USDT-SWAP,buy,short,5.9,247.5,"{""bkLoss"":""0"",""bkPx"":""247.5"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""5.9"",""ts"":""1788221829914""}"
2026-09-01T00:17:11.786793Z,1788221831146,ARB-USDT-SWAP,buy,short,35.7,0.11113,"{""bkLoss"":""0"",""bkPx"":""0.11113"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""35.7"",""ts"":""1788221831146""}"
2026-09-01T00:17:12.923667Z,1788221831843,PUMP-USDT-SWAP,buy,short,21,0.004659,"{""bkLoss"":""0"",""bkPx"":""0.004659"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""21"",""ts"":""1788221831843""}"
2026-09-01T00:17:13.360030Z,1788221832254,PUMP-USDT-SWAP,buy,short,1,0.004664,"{""bkLoss"":""0"",""bkPx"":""0.004664"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1"",""ts"":""1788221832254""}"
2026-09-01T00:17:13.760826Z,1788221830682,ARB-USDT-SWAP,buy,short,385.5,0.11095,"{""bkLoss"":""0"",""bkPx"":""0.11095"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""385.5"",""ts"":""1788221830682""}"
2026-09-01T00:17:14.697584Z,1788221833933,PUMP-USDT-SWAP,buy,short,116,0.004666,"{""bkLoss"":""0"",""bkPx"":""0.004666"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""116"",""ts"":""1788221833933""}"
2026-09-01T00:17:18.320489Z,1788221837650,WLD-USDT-SWAP,buy,short,25,0.3688,"{""bkLoss"":""0"",""bkPx"":""0.3688"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""25"",""ts"":""1788221837650""}"
2026-09-01T00:17:22.359075Z,1788221841412,PUMP-USDT-SWAP,buy,short,63,0.004669,"{""bkLoss"":""0"",""bkPx"":""0.004669"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""63"",""ts"":""1788221841412""}"
2026-09-01T00:17:22.511789Z,1788221841672,SUI-USDT-SWAP,buy,short,8273,0.7321,"{""bkLoss"":""0"",""bkPx"":""0.7321"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""8273"",""ts"":""1788221841672""}"
2026-09-01T00:17:27.328560Z,1788221845850,PUMP-USDT-SWAP,buy,short,167,0.004675,"{""bkLoss"":""0"",""bkPx"":""0.004675"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""167"",""ts"":""1788221845850""}"
2026-09-01T00:17:35.006293Z,1788221854119,PUMP-USDT-SWAP,buy,short,72,0.004678,"{""bkLoss"":""0"",""bkPx"":""0.004678"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""72"",""ts"":""1788221854119""}"
2026-09-01T00:17:47.680875Z,1788221866491,PUMP-USDT-SWAP,buy,short,203,0.004679,"{""bkLoss"":""0"",""bkPx"":""0.004679"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""203"",""ts"":""1788221866491""}"
2026-09-01T00:17:48.822783Z,1788221867736,PUMP-USDT-SWAP,buy,short,11,0.004683,"{""bkLoss"":""0"",""bkPx"":""0.004683"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""11"",""ts"":""1788221867736""}"
2026-09-01T00:17:48.887464Z,1788221867862,ZEC-USDT-SWAP,buy,short,294,856.36,"{""bkLoss"":""0"",""bkPx"":""856.36"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""294"",""ts"":""1788221867862""}"
2026-09-01T00:17:49.264784Z,1788221868003,ZEC-USDT-SWAP,buy,short,145,856.77,"{""bkLoss"":""0"",""bkPx"":""856.77"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""145"",""ts"":""1788221868003""}"
2026-09-01T00:17:49.677545Z,1788221868386,PUMP-USDT-SWAP,buy,short,32,0.004685,"{""bkLoss"":""0"",""bkPx"":""0.004685"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""32"",""ts"":""1788221868386""}"
2026-09-01T00:17:51.053767Z,1788221869913,PUMP-USDT-SWAP,buy,short,546,0.004693,"{""bkLoss"":""0"",""bkPx"":""0.004693"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""546"",""ts"":""1788221869913""}"
2026-09-01T00:17:53.068340Z,1788221872085,ZEC-USDT-SWAP,buy,short,340,857.19,"{""bkLoss"":""0"",""bkPx"":""857.19"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""340"",""ts"":""1788221872085""}"
2026-09-01T00:17:53.768746Z,1788221872689,UNI-USDT-SWAP,buy,short,2587,5.351,"{""bkLoss"":""0"",""bkPx"":""5.351"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""2587"",""ts"":""1788221872689""}"
2026-09-01T00:17:54.988251Z,1788221874258,UNI-USDT-SWAP,buy,short,114,5.361,"{""bkLoss"":""0"",""bkPx"":""5.361"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""114"",""ts"":""1788221874258""}"
2026-09-01T00:18:20.253099Z,1788221898998,XPL-USDT-SWAP,buy,short,17,0.08453,"{""bkLoss"":""0"",""bkPx"":""0.08453"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""17"",""ts"":""1788221898998""}"
2026-09-01T00:18:20.256278Z,1788221898998,ENA-USDT-SWAP,buy,short,13,0.1514,"{""bkLoss"":""0"",""bkPx"":""0.1514"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""13"",""ts"":""1788221898998""}"
2026-09-01T00:18:20.261790Z,1788221898998,STRK-USDT-SWAP,buy,short,733,0.02659,"{""bkLoss"":""0"",""bkPx"":""0.02659"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""733"",""ts"":""1788221898998""}"
